runner,compiler,version,support
windows-2019,intel-classic,2021.1.2,
windows-2019,intel-classic,2021.1,
windows-2019,intel-classic,2021.10,&check;
windows-2019,intel-classic,2021.2,
windows-2019,intel-classic,2021.3,
windows-2019,intel-classic,2021.4,
windows-2019,intel-classic,2021.5,
windows-2019,intel-classic,2021.6,&check;
windows-2019,intel-classic,2021.7.1,
windows-2019,intel-classic,2021.7,&check;
windows-2019,intel-classic,2021.8,
windows-2019,intel-classic,2021.9,&check;
windows-2019,intel,2021.1.2,
windows-2019,intel,2021.1,
windows-2019,intel,2021.2,
windows-2019,intel,2021.4,
windows-2019,intel,2022.0,
windows-2019,intel,2022.1,&check;
windows-2019,intel,2022.2.1,
windows-2019,intel,2022.2,&check;
windows-2019,intel,2023.0,
windows-2019,intel,2023.1,&check;
windows-2019,intel,2023.2,&check;
windows-2019,intel,2024.0,&check;
windows-2019,intel,2024.1,&check;
windows-2022,intel-classic,2021.1.2,
windows-2022,intel-classic,2021.1,
windows-2022,intel-classic,2021.10,&check;
windows-2022,intel-classic,2021.2,
windows-2022,intel-classic,2021.3,
windows-2022,intel-classic,2021.4,
windows-2022,intel-classic,2021.5,
windows-2022,intel-classic,2021.6,&check;
windows-2022,intel-classic,2021.7.1,
windows-2022,intel-classic,2021.7,&check;
windows-2022,intel-classic,2021.8,
windows-2022,intel-classic,2021.9,&check;
windows-2022,intel,2021.1.2,
windows-2022,intel,2021.1,
windows-2022,intel,2021.2,
windows-2022,intel,2021.4,
windows-2022,intel,2022.0,
windows-2022,intel,2022.1,&check;
windows-2022,intel,2022.2.1,
windows-2022,intel,2022.2,&check;
windows-2022,intel,2023.0,
windows-2022,intel,2023.1,&check;
windows-2022,intel,2023.2,&check;
windows-2022,intel,2024.0,&check;
windows-2022,intel,2024.1,&check;
